Date,.STOXX50,BHPB.L,ABBN.S,ADSGn.DE,BAYGn.DE,SGEF.PA,GSK.L,HSBA.L,ULVR.L,BNPP.PA,AIR.PA,NESN.S,TOTF.PA,NOVN.S,AIRP.PA,LVMH.PA,ASML.AS,SASY.PA,NOVOb.CO,IBE.MC,ISP.MI,RDSa.AS,ROG.S,UBSG.S,BATS.L,DGE.L,REL.L,AZN.L,PRU.L,VOD.L,OREP.PA,SIEGn.DE,SAPG.DE,ZURN.S,SCHN.PA,BASFn.DE,NG.L,DTEGn.DE,RIO.L,DAIGn.DE,BP.L,PRTP.PA,ALVG.DE,SAF.PA,ENEI.MI,AXAF.PA,ABI.BR,RKT.L
2011-05-13 00:00:00,-0.006882012,-0.009942881,-0.005574614,-0.023251418,0.005527725,-0.004990926,0.013148009,-0.000771605,-0.003012048,-0.009604728,0.058446023,0.004587156,-0.006105752,0.007428041,-0.001580112,-0.001653576,-0.012847589,0.005181347,0.021060842,-0.010509297,-0.023764259,-0.011267606,0.007417397,-0.020908005,-0.001477105,0.008560311,0.004472272,0.002196768,-0.018036072,-0.00119225,-0.003971499,-0.017305054,-0.001571092,-0.005605865,-0.014053579,-0.001247272,-0.015103339,-0.073321555,-0.005225422,-0.006289308,-0.002368866,-0.000820008,-0.01996008,0.007491321,0.015397776,-0.01182832,0.014737859,-0.000291036
2011-05-16 00:00:00,-3.05441E-05,0.022222222,0.002156102,0.011418618,0.003264044,-0.002165983,-0.000370782,-0.007413127,-0.007049345,-0.010070869,-0.021221308,-0.001826484,-0.003440226,0,-0.001793627,-0.000414079,0.016223926,-0.044792037,-0.007639419,-0.002777778,0.004868549,-0.004884005,0.007362784,-0.004881025,-0.005732249,0.003858025,-0.006233304,0,-0.006802721,0.004177857,0.002697314,0.001825405,-0.001910756,-0.007372073,0.004454343,0.005151421,-0.005649718,-0.001906578,0.019056926,-0.009295886,-0.008480326,0.004513746,-0.006720978,-0.002720348,-0.00589722,-0.004787962,0.003214286,-0.010189229
2011-05-17 00:00:00,-0.009270431,-0.02006689,-0.011187608,-0.01836969,-0.023972603,-0.017936707,-0.025222552,-0.00606815,-0.004563895,-0.004709872,-0.024336283,-0.003659652,-0.005301442,-0.011981567,-0.017440017,-0.017398509,-0.024385965,-0.01321176,-0.006928406,-0.001146977,-0.024224806,-0.010224949,-0.013953488,-0.011649295,-0.006695183,-0.019984627,-0.000896057,-0.010020354,-0.017123288,0.008618128,-0.006666667,-0.012754555,-0.018018018,-0.004805592,-0.011973392,-0.03090542,-0.000811688,-0.010506208,-0.016902421,-0.019365143,-0.00832478,-0.021650327,-0.015378306,-0.002364066,-0.01440678,-0.01580756,0.002135991,-0.014705882
2011-05-18 00:00:00,0.004566826,0.015145051,0.003046127,0.000194932,0.016491228,0.00767799,0.004946728,-0.000313087,0.009679063,0.010789324,0.009977324,0.005509642,0.010535449,0.008395522,0.012263339,0.01391231,0.012767488,0.009240053,-0.000775194,-0.002624672,-0.003972195,0.011570248,0.010781671,0.006823821,0.008425389,0.00627451,0.000896861,0.01027993,0.01533101,0.010312316,0.009890498,-0.003799805,0.003440367,0.006145742,0.009874327,0.010897436,-0.001624695,0.016891892,0.015120107,0.003359121,0.014374425,0.011691023,0.00697626,0.005468465,0.00988822,0.01047486,-0.003552398,0.011940299
2011-05-19 00:00:00,0.00554735,-0.003572179,0.007809111,0.000194894,-0.0022437,0.01685523,0.012116622,0.001409333,0.002018163,0.017602996,0.03390211,0.001826484,0.01214277,0.007400555,0.010201913,0.001247401,-0.005681818,0.022795217,0.014740109,0.003618421,0.001994018,0.003880719,0,0.006777572,0.011882659,0.003117693,0.01344086,-0.001408892,0.015785861,0.007582386,0.015040224,0.022667829,0.007771429,-0.002617801,0.014666667,0.007926443,0.013018714,0.007119127,-0.003003003,0.008623313,0.015531119,0.003301692,0.007341537,0.007795504,0.006811409,0.025224603,0.001663696,0.002949853
2011-05-20 00:00:00,-0.001117847,-0.004639393,-0.008609557,0.011496493,-0.014703339,-0.007947321,-0.002992892,-0.006880375,-0.009063444,-0.037173353,-0.013463626,-0.003646308,-0.004604944,-0.006427916,-0.003261098,-0.011212625,-0.001785714,-0.012787724,-0.010703364,-0.013438217,-0.035820896,-0.001424212,-0.008,-0.005507956,0.007522936,-0.004662005,-0.001768347,-0.003292052,0.000675676,0.006657019,-0.010912015,-0.022271952,-0.011113631,0.001749781,-0.010074463,-0.014469959,0.016064257,-0.009425071,-0.008433735,-0.017300342,0.027014959,0.00246812,-0.013138986,0.003957546,-0.010147992,-0.009774183,0.010084233,0.013529412
2011-05-23 00:00:00,-0.016205914,-0.023728814,-0.018671298,-0.016567135,-0.020189607,-0.018081941,-0.013508443,-0.013226264,-0.010162602,-0.018157492,-0.013867488,-0.002744739,-0.038470903,-0.012014787,-0.017414248,-0.025199496,-0.024686941,-0.009067358,0,-0.0089701,-0.068004645,-0.018744906,-0.016129032,-0.021538462,-0.007284648,-0.011709602,-0.025686448,-0.017301038,-0.025658339,-0.013801035,-0.006851701,-0.017983651,-0.015481651,-0.023144105,-0.034070796,-0.022821577,-0.015019763,-0.00903901,-0.019927096,-0.02988741,-0.017391304,-0.055395979,-0.022259205,-0.017380398,-0.007689022,-0.023825732,-0.022316185,-0.016831109
2011-05-24 00:00:00,0.001739299,0.017795139,0.011504425,0.009010774,0.007167174,0.009324009,0.003803728,-0.005106111,-0.001540041,-0.000973331,0.007366071,0.001834862,-0.001139529,0.005612722,0.011493018,0.014218009,-0.016691123,0.010457516,0.006955178,0.000335233,-0.010625738,0.00872093,0.00273224,-0.005031447,-0.002568336,-0.001579779,-0.001818182,-0.000480154,-0.00970201,-0.010204082,0.000584659,0.00854606,0.001164822,-0.0049173,0.004122767,0.007512657,0.002407705,-0.010081613,0.020332259,0.010761764,0.009734513,0.022589053,-0.005212766,0.034281546,0.001291433,-0.002440725,-0.001802018,-0.002951594
2011-05-25 00:00:00,0.008696899,-0.000426439,-0.013560805,0.003106193,-0.008183597,0,0.000378931,0.004651163,-0.003084833,0.022408418,-0.009749612,-0.001831502,-0.003676005,0.002790698,-0.002442391,0,0.005409439,-0.002772131,0.00076746,0.01038874,0.05071599,0.004528613,0.00613079,0.011378003,-0.013794372,-0.006329114,0.001821494,0.005764612,0.006298111,-0.006774669,-0.000233727,-0.008693738,0.003025015,-0.004492363,-0.004562044,-0.008429243,-0.012009608,-0.001939864,0.008019441,0.006263048,0.001752848,0.013169074,0.015078601,-0.007757405,0.003869304,0.018175463,0.002166326,-0.001776199
2011-05-26 00:00:00,-0.000253586,0.00746587,-0.002660754,-0.015482872,-0.018654709,0.003117783,-0.003030303,-0.00399106,-0.002578649,-0.003239947,0.007160439,0.000917431,-0.002671756,-0.001855288,-0.007877369,-0.010195412,-0.00890538,0.003335804,-0.007668712,0.002819237,-0.00681431,0.010655738,0.002708192,0.005625,0.013427825,-0.000796178,-0.007272727,-0.00015921,0.009040334,-0.006820878,-0.00654588,-0.002886323,-0.019487298,0.017599278,0.018331806,-0.00555828,-0.001620746,-0.012633625,0.00012054,-0.006742739,0.008748906,-0.007966457,-0.013063633,-0.018834399,0.006423983,-0.001716444,-0.014050679,0.008007117
